acpi 1.7-3
powertop 2.15-1
print-manager 22.12.3-1
procps-ng 3.3.17-1
protonvpn-gui 1.12.0-1.1
psmisc 23.6-1
pulseaudio-bluetooth 16.1-6
pulseaudio-ctl 1.70-1
pulseaudio-zeroconf 16.1-6
python-pillow 9.4.0-2
python-pip 23.0.1-1
python-pyqt5 5.15.9-1
python-pysmbc 1.0.23-3
python-reportlab 3.6.12-2
python-wxpython 1:4.2.0-3
qt5-imageformats 5.15.8+kde+r9-1
qt5-virtualkeyboard 5.15.8-1
reiserfsprogs 3.6.27-4
rsync 3.2.7-4
s-nail 14.9.24-2
samba 4.18.1-1
sddm 0.19.0-9
sddm-breath-theme 22.0.0-2
sddm-kcm 5.27.3-1
sed 4.9-3
shadow 4.13-2
skanlite 22.12.3-1
sof-firmware 2.2.4-1
spectacle 22.12.3-1
spectre-meltdown-checker 0.45+6+ga284357-1
sshfs 3.7.3-1
sudo 1.9.13.p3-1
sysfsutils 2.1.1-1
system-config-printer 1.5.18-1
systemd 252.9-1
systemd-fsck-silent 239-1
systemd-kcm 1.2.1-7
systemd-sysvcompat 252.9-1
systemsettings 5.27.3-1
tar 1.34-2
telegram-desktop 4.7.1-1
terminus-font 4.49.1-5
texinfo 7.0.2-2
timeshift 22.11.2-1
timeshift-autosnap-manjaro 0.10-1
ttf-dejavu 2.37+18+g9b5d1b2f-3
ttf-droid 20121017-10
ttf-google-thai 1.0.0-1
ttf-inconsolata 1:3.000-3
ttf-indic-otf 0.2-11
ttf-kanit 2.000-1
ttf-liberation 2.1.5-1
ttf-ms-win10-auto-thai 10.0.19042.789-5
udiskie 2.4.2-1
udisks2 2.9.4-1
unarchiver 1.10.7-8
usb_modeswitch 2.6.1-3
usbimager-bin 1.0.9-2
usbutils 015-2
util-linux 2.38.1-3
ventoy 1.0.91-1
vi 1:070224-6
virtualbox 7.0.6-3
vlc 3.0.18-8
vulkan-intel 23.0.1-2.1
vulkan-radeon 23.0.1-2.1
wget 1.21.3-1
which 2.21-6
wireless-regdb 2023.02.13-1
wpa_supplicant 2:2.10-8
xdg-desktop-portal-kde 5.27.3-1
xdg-user-dirs 0.18-1
xdg-utils 1.1.3+25+g8ae0263-1
xf86-input-elographics 1.4.3-1
xf86-input-evdev 2.10.6-3
xf86-input-libinput 1.2.1-1
xf86-input-void 1.4.2-1
xf86-video-amdgpu 23.0.0-1
xf86-video-ati 1:19.1.0.r15.g7a6a34af-1
xf86-video-intel 1:2.99.917+923+gb74b67f0-1
xf86-video-nouveau 1.0.17-2
xfsprogs 6.2.0-1
xorg-mkfontscale 1.2.2-1
xorg-server 21.1.8-1
xorg-twm 1.0.12-1
xorg-xinit 1.4.2-1
xorg-xkill 1.0.6-1
xz 5.4.2-1
yakuake 22.12.3-1
yay 11.3.2-1
